name,location,category,description,address,latitude,longitude,opening_time,closing_time,rating,is_featured
Sto. Tomas de Villanueva Parish (Danao),"Danao City, Cebu",Church,"Principal parish of Danao City in northern Cebu.","Poblacion, Danao City, Cebu",10.52080,124.02650,06:00,18:00,4.4,false
St. James the Greater Parish,"Compostela, Cebu",Church,"Parish church of Compostela, northern Cebu.","Poblacion, Compostela, Cebu",10.45510,124.01440,06:00,18:00,4.2,false
Nuestra Señora del Pilar Parish (Liloan),"Liloan, Cebu",Church,"Parish beside the historic Bagacay Point lighthouse town.","Poblacion, Liloan, Cebu",10.39710,123.99880,06:00,18:00,4.3,false
St. Joseph Parish,"Consolacion, Cebu",Church,"Growing parish serving the Consolacion municipality.","Poblacion, Consolacion, Cebu",10.37610,123.95820,06:00,18:00,4.2,false
Our Lady of the Rule Parish,"Minglanilla, Cebu",Church,"Parish church of Minglanilla, southern metro Cebu.","Poblacion, Minglanilla, Cebu",10.24540,123.79640,06:00,18:00,4.3,false
St. Gregory the Great Parish,"Sibonga, Cebu",Heritage,"Spanish-era parish church in the Sibonga poblacion.","Poblacion, Sibonga, Cebu",10.02180,123.59150,06:00,18:00,4.5,false
Sta. Rosa de Lima Parish (Dalaguete),"Dalaguete, Cebu",Heritage,"Fortified church and plaza complex in Dalaguete.","Poblacion, Dalaguete, Cebu",9.76140,123.53410,06:00,18:00,4.6,false
St. Francis of Assisi Parish (Oslob),"Oslob, Cebu",Heritage,"Coral-stone church beside the Oslob heritage ruins.","Poblacion, Oslob, Cebu",9.51280,123.43140,06:00,18:00,4.5,false
Our Lady of the Immaculate Conception Parish (Santander),"Santander, Cebu",Church,"Southernmost mainland parish in Cebu province.","Poblacion, Santander, Cebu",9.42500,123.33330,06:00,18:00,4.2,false
St. Vincent Ferrer Parish,"Bogo City, Cebu",Church,"Principal parish of Bogo City in northern Cebu.","Poblacion, Bogo City, Cebu",11.04700,124.00500,06:00,18:00,4.3,false
Sta. Rosa de Lima Parish (Bantayan Island),"Bantayan Island, Cebu",Heritage,"One of the three oldest parishes in Cebu, on Bantayan Island.","Poblacion, Bantayan, Cebu",11.16780,123.72280,06:00,18:00,4.6,false
St. Peter and St. Paul Parish,"Bantayan Island, Cebu",Church,"Parish serving the Madridejos community on Bantayan Island.","Madridejos, Cebu",11.26720,123.72440,06:00,18:00,4.2,false
Our Lady of the Assumption Parish,"Toledo City, Cebu",Church,"Principal parish of Toledo City on the western coast.","Poblacion, Toledo City, Cebu",10.37760,123.63860,06:00,18:00,4.3,false
St. John the Baptist Parish,"Balamban, Cebu",Church,"Parish church of Balamban on the western seaboard.","Poblacion, Balamban, Cebu",10.50440,123.71600,06:00,18:00,4.2,false
Our Lady of the Sacred Heart Parish,"Barili, Cebu",Church,"Parish church at the centre of Barili town.","Poblacion, Barili, Cebu",10.11750,123.51190,06:00,18:00,4.3,false
St. Anthony of Padua Parish,"Moalboal, Cebu",Church,"Parish serving the Moalboal coastal community.","Poblacion, Moalboal, Cebu",9.94170,123.40000,06:00,18:00,4.2,false
Our Lady of the Pillar Parish,"Cordova, Cebu",Church,"Parish church of Cordova on Mactan Island.","Poblacion, Cordova, Cebu",10.25150,123.94900,06:00,18:00,4.2,false
Birhen sa Regla Parish,"Talisay City, Cebu",Church,"Devotional parish in the Talisay district.","Talisay City, Cebu",10.25010,123.83500,06:00,18:00,4.2,false
